Position,World Ranking,Name,Team,UCI Number,Nationality,YOB,Speed,Speed Ranking,Split 1,Split 1 pos,Split 2,Split 2 pos,Split 3,Split 3 pos,Split 4,Split 4 pos,Time,TOW,Points
1,6,IERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,60.335,11,0:44.269,1,1:17.360,7,1:53.519,1,2:20.293,1,02:47.0,0,200
2,14,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,59.081,21,0:44.924,2,1:16.398,1,1:53.573,2,2:20.354,2,02:48.0,0.847,160
3,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,58.824,25,0:45.023,4,1:16.676,3,1:53.788,3,2:20.960,3,02:48.0,1.086,140
4,8,COULANGES Benoit,DORVAL AM COMMENCAL,10008194359,FRA,1994,59.081,21,0:45.302,7,1:16.893,5,1:54.638,6,2:21.349,4,02:49.0,1.466,125
5,17,SHAW Luca,CANYON COLLECTIVE FACTORY TEAM,10008813442,USA,1996,61.224,3,0:45.223,6,1:16.795,4,1:54.231,4,2:21.860,5,02:50.0,2.431,110
6,9,HART Danny,CUBE FACTORY RACING,10005470073,GBR,1991,60.067,14,0:46.511,21,1:18.379,12,1:54.979,7,2:22.370,6,02:50.0,2.695,95
7,5,WILSON Reece,TREK FACTORY RACING DH,10009563271,GBR,1996,60.335,11,0:45.689,9,1:17.073,6,1:54.377,5,2:22.392,7,02:51.0,3.373,90
8,7,GREENLAND Laurie,SANTA CRUZ SYNDICATE,10009404738,GBR,1997,58.127,36,0:45.453,8,1:18.220,9,1:56.086,8,2:23.325,8,02:51.0,3.856,85
9,64,VIDAL Antoine,COMMENCAL LES ORRES,10070590924,FRA,2001,57.878,40,0:46.027,14,1:18.853,15,1:56.199,9,2:23.371,9,02:51.0,4.16,80
10,1,WALKER Matt,MADISON SARACEN FACTORY TEAM,10011016756,GBR,1999,61.714,2,0:46.072,15,1:18.374,11,1:56.357,10,2:23.966,10,02:52.0,4.463,75
11,1,NORTON Dakotah,INTENSE FACTORY RACING,10010038167,USA,1992,61.155,4,0:46.652,23,1:19.716,21,1:57.219,12,2:24.453,11,02:52.0,5.219,70
